TF,mean_abs_SHAP
KLF2,0.02401097636907225
FOSB,0.021824298136433003
GTF3A,0.0172045145083275
HMGA1,0.01589976783364389
JUN,0.013755552793181167
FOS,0.011339231848159983
JUND,0.011192360737460532
KLF6,0.010675291397565368
CREB3L3,0.009016994975088864
FOXM1,0.008523408637635307
STAT5A,0.00829582821912972
TBX21,0.004975090694825877
YBX1,0.00420221498308746
MXD4,0.0038577421613283274
NFKB1,0.0017521931987688078
NFATC2,0.0017196299008916235
BATF,0.001584149843120653
HNF1B,0.001319529852381335
MSC,0.001309070428033567
EOMES,0.00126776717624523
ATF5,0.001095625663381905
NFE2L3,0.0010748597124028783
PPARG,0.0010280137421661295
TFAP4,0.0009159921534598906
CREBZF,0.0008506638292341263
TLX2,0.0007180598244705709
XBP1,0.0007054890188999996
LEF1,0.0006650115834864578
FOXP3,0.0006524570369945942
NFYB,0.0006099150091582414
MYC,0.0006010628784848083
ETS1,0.0005984232632094432
RORC,0.0005982793035827044
FOSL2,0.0005907115100897437
SPI1,0.0005758296670120823
E2F8,0.0005741675266008987
CEBPG,0.0005694196706860141
IRF1,0.0005566309443303391
POU2F2,0.0005521613741940452
ELF1,0.0005375016107233723
E2F2,0.00053413719574851
STAT1,0.0005319785529306759
SREBF1,0.0005256041016219639
IKZF1,0.0005228362284724438
CREB3,0.0004954020788292044
TFDP1,0.0004906385454666558
KLF4,0.0004759649537867283
POU2F1,0.00047456299216187337
GABPA,0.00047182547968188594
HOXA9,0.00046929581103571455
SPIB,0.00046151309847562353
RELB,0.0004537699544133226
ZBTB17,0.00043513991734476305
IRF5,0.00043391698529127295
MAFG,0.00042808778455056856
FLI1,0.00042674404716500314
ZNF407,0.0004077585127590969
ELK3,0.0004012077433627262
IRF8,0.0004002261621242324
PATZ1,0.00039999509187489
SREBF2,0.0003903710772782381
GMEB1,0.00038695451042798976
RARA,0.00038686044217299027
TP53,0.0003863364705567749
ELK4,0.0003854329068319999
PURA,0.000373261042576017
LHX1,0.000371563822073911
NR3C1,0.0003710259057249176
MITF,0.0003653816076576656
PBX1,0.0003584733609516795
TEAD4,0.000351232610829988
TCF4,0.00034153669191783035
ZNF580,0.0003397282643809507
ETV5,0.0003394205087646496
OTX2,0.0003316471784163097
E2F4,0.00032373996288494823
HOXA10,0.00031987270873555783
VEZF1,0.00031876420162759214
ETV4,0.00031568703218102617
IRF3,0.0003150743366169555
BACH2,0.0003146854689448397
TCF3,0.0003116833636427361
ZNF225,0.00031142244511864014
HOXC5,0.0003107334008434281
GATA2,0.0003041898810927757
ONECUT2,0.0003027052758748511
E2F7,0.0002982973242701071
NFYC,0.0002979109271832994
ATF2,0.000286280916099411
MAFB,0.00028248093653198694
SP4,0.0002806733588153342
ETV7,0.00027421649792479556
ATF3,0.000271566316491693
ZNF354B,0.0002697159655932882
KLF13,0.0002696952276738154
PAX2,0.0002690175294697755
REL,0.0002685603213240645
THAP11,0.00026789391358153584
EGR1,0.0002649978441477699
SETDB1,0.00026428463877809167
NCOA1,0.00026184026854946153
MBNL2,0.00024997301352444335
HOXB2,0.00024737298624072417
HOXC9,0.00024517426676854814
MBD2,0.00024050975996838106
E2F1,0.00024030503494715464
HES1,0.0002391628392883093
NHLH1,0.00023861975494021974
ZNF367,0.00023408191573514296
CREB3L2,0.00023185084255179415
NFIA,0.00022466479049812666
MAFF,0.0002244547270719036
ELK1,0.00022023876648107307
CEBPA,0.00021917025190574266
NFE2,0.00021531155701233904
ZBTB20,0.0002111181256130317
ETS2,0.00020712098883789826
TAL1,0.0002032547376601346
NFKB2,0.0002023089366471795
RXRA,0.0002017058387982152
SMAD3,0.00020143490703795636
GATA1,0.00019594206566730244
SP3,0.00019570538936044982
IRF7,0.0001849423402083762
TP73,0.00018327743290351206
GATA3,0.00018243705691553877
ETV2,0.00018142469122468357
NR2C2,0.0001811185778288943
ELF3,0.00018023383995856697
IKZF2,0.00017474781444992533
ATF1,0.00016912947895081161
GFI1B,0.0001615482495594357
CEBPD,0.00015857345641426786
TCF7L2,0.00015772317374909142
ELF4,0.00015708143070832602
ESRRA,0.00015690927337185843
ZNF35,0.00015580811516522613
ETV3,0.00015347789356142435
E2F6,0.0001504666393697116
ETV6,0.0001467177374890454
BCL11A,0.00013761161141501456
RFX5,0.0001374627445489724
SOX4,0.0001365325124751852
KLF12,0.00013633805085625587
ZBTB25,0.0001356694778944096
CEBPB,0.00013278051450107072
BHLHE41,0.00012317179903059399
DBP,0.00011496829389396247
TEAD3,0.0001063377030410328
ZNF354C,0.00010465427887556697
TCF7L1,9.672808045196066e-05
MAFK,8.994402196756334e-05
YY2,7.896498705942385e-05
POU6F1,2.4412291666629053e-05
