TF,mean_abs_SHAP
FOSB,0.019965557383658097
JUN,0.013954869484103976
FOS,0.011034773740080134
GTF3A,0.01083108346998437
CREB3L3,0.010587547551675281
JUND,0.010465882322982453
HMGA1,0.010462661288666315
KLF2,0.009469874477581491
STAT5A,0.008858439524453348
KLF6,0.008638548401600419
FOXM1,0.007529115467757233
TBX21,0.003943560585229189
YBX1,0.0025962671647150977
MXD4,0.0023877625923642617
BATF,0.0022671434255291025
MSC,0.0021687119258693667
NFATC2,0.0018880092330463645
HNF1B,0.0017081891142281484
NFKB1,0.0013529713389434012
ATF5,0.0012868087742509877
EOMES,0.0010047835171579274
TFAP4,0.0009862753488054155
RORC,0.0009843940995968763
PPARG,0.0009490278959266665
CREBZF,0.0009288135148035864
NFE2L3,0.0008597752712018304
POU2F2,0.0008549436028308411
XBP1,0.0008190022633830206
TLX2,0.0008162877955931293
NFYB,0.000716170492451756
LEF1,0.0006710408002078103
IRF5,0.0006458347605213386
SPI1,0.0006349477918735175
MYC,0.0006021837178882655
RARA,0.0005966602809732403
ETS1,0.0005963474738700839
E2F2,0.0005625196965381551
FLI1,0.0005436662125746664
STAT1,0.0005386257372827915
ELF1,0.000515298399121813
FOSL2,0.0005147598820503444
E2F8,0.0005065721708735667
TEAD4,0.0004953911526149588
POU2F1,0.000493761109992818
KLF4,0.0004930230176601639
IRF1,0.0004842037789065423
GABPA,0.0004615824014138687
ELK4,0.00045179468566763366
CREB3,0.00042928812551897586
LHX1,0.00042296148594801573
RELB,0.00041172024189280843
GATA2,0.0004013324888089314
OTX2,0.000391538469213555
IKZF1,0.0003905767488615295
ZNF407,0.00038833618271117234
NR3C1,0.000379640652840559
CEBPG,0.00037257720012812796
SREBF1,0.0003720990885962853
PURA,0.00037111368576872545
MBNL2,0.0003670906079531857
NFE2,0.0003662253167757238
FOXP3,0.0003627427797623907
PAX2,0.0003613335826920999
TCF3,0.0003605475555712483
HOXC9,0.00035733770396122286
HOXB2,0.00035237790803002055
ETV5,0.0003417325881842876
VEZF1,0.00033680080908000937
ZNF580,0.00033609992098362933
IRF8,0.0003360653679327047
TCF4,0.0003350669529479577
SREBF2,0.0003336159101512068
SPIB,0.00032709818546063237
ELK3,0.00032562853145850655
NFYC,0.00032560049239857883
MAFG,0.00032287296082554227
KLF13,0.0003188676522315012
SETDB1,0.00031829531325361463
PBX1,0.0003139970784452254
SP4,0.00031335436450832636
IRF3,0.00031116616982809455
HES1,0.00030833838567721983
ATF3,0.0003063696440471891
ZNF225,0.00029943640631255796
TP53,0.0002957974892654706
NCOA1,0.000281365863385126
E2F4,0.0002773927334805645
GMEB1,0.0002732559782549617
HOXA9,0.00026739731528312773
HOXC5,0.00026463154449196446
HOXA10,0.00024658784015858267
MAFB,0.00023878264480390498
CREB3L2,0.00023870473801046335
ZBTB20,0.00023243137880436666
NHLH1,0.0002320427606177675
ELK1,0.0002283737469948372
GATA3,0.00022501362997757646
ZBTB17,0.00022172048296207434
E2F1,0.0002086521131480016
MITF,0.00020434958787662557
SMAD3,0.0002008492396089418
ZNF354B,0.00020022771932906824
TFDP1,0.00019904256105189274
TEAD3,0.00019616777260601822
ONECUT2,0.00019460408144060285
ELF3,0.00019388146166424603
PATZ1,0.00018822256010076
ZNF367,0.00018431253586808385
CEBPD,0.0001841201005541243
NR2C2,0.00018342121072415136
E2F6,0.00018039507124416584
IKZF2,0.00017926865332377884
KLF12,0.00017887487988465703
NFIA,0.00017625542681632702
GATA1,0.00017566297109413418
BACH2,0.00017443112576780303
ATF2,0.0001736739313467975
TAL1,0.00017049195769332817
ZNF354C,0.00016908541342365417
THAP11,0.00016561322268900328
ETV7,0.00015572932487939992
ETV4,0.00015504903916978735
MBD2,0.0001542182290589199
ATF1,0.0001535853666217783
ESRRA,0.00014738130685835123
ETV3,0.00014714937366084102
MAFF,0.0001430674562481801
E2F7,0.00014013031083354461
CEBPA,0.00013956623898244398
TCF7L2,0.00013545981822671988
ZBTB25,0.0001339355721813246
REL,0.0001284503365419708
IRF7,0.00012517801737317748
RFX5,0.00012499554550971276
BCL11A,0.00012496986653153866
ELF4,0.00011938891847361161
NFKB2,0.0001172670201297252
ZNF35,0.00011641667817524635
ETS2,0.00011589714467323706
SP3,0.0001140439317772183
BHLHE41,0.00011372805875578154
GFI1B,0.0001129301969152353
MAFK,0.00011128828901746259
EGR1,0.0001079945068212527
DBP,0.0001071339687314275
RXRA,0.00010621461469919467
TCF7L1,0.00010601689662761079
ETV6,9.905905674197012e-05
CEBPB,9.610831408697139e-05
SOX4,9.384609557979074e-05
TP73,8.838314731493584e-05
ETV2,8.296760186229772e-05
YY2,6.243146762483747e-05
POU6F1,3.515931769188104e-05
