TF,SHAP_diff
ATF1,5.962182600828386e-05
ATF2,-0.00017830702202570667
ATF3,-0.0005092565178988186
ATF5,0.0003864999196506147
BACH2,0.0007304919561221428
BATF,0.00013939110859201916
BCL11A,-3.593356747922458e-05
BHLHE41,5.107742161572345e-05
CEBPA,0.00034503683183778177
CEBPB,8.368138425550597e-05
CEBPD,1.2592771942433536e-06
CEBPG,-0.00011116619463899038
CREB3,-0.00010383901736635675
CREB3L2,0.00028510154594505236
CREB3L3,0.008528559642711674
CREBZF,-0.00031548551339878806
DBP,-3.9436385192266206e-05
E2F1,0.00045126489592020873
E2F2,-0.0008552309481549413
E2F4,-0.00021276382012027674
E2F6,-0.00015913737750319055
E2F7,-0.0002711936323199806
E2F8,0.0003782462102741946
EGR1,-1.97597928605736e-05
ELF1,0.0010669859257670766
ELF3,-0.00010214253830142682
ELF4,7.724066523238553e-05
ELK1,0.00010023668433922905
ELK3,-2.6148548751043863e-06
ELK4,0.0005055683621405724
EOMES,-0.0010102105352584108
ESRRA,8.64083914080053e-05
ETS1,-0.000766790733169395
ETS2,-3.399031687208253e-05
ETV2,3.952501701001973e-06
ETV3,1.7489657372796817e-05
ETV4,-6.864807795402512e-05
ETV5,0.00018992917167517053
ETV6,9.215465976642664e-06
ETV7,-0.00014677656030790721
FLI1,5.639122528304316e-05
FOS,-0.0019724501911735255
FOSB,-0.00777190856448667
FOSL2,-0.00039565459419740445
FOXM1,-0.00496147402854322
FOXP3,-0.00021098868327519717
GABPA,-0.0002611203845812817
GATA1,5.6728893197601544e-05
GATA2,-3.205691040901835e-07
GATA3,2.8633062377690424e-05
GFI1B,4.493308590565868e-05
GMEB1,-0.00041462926734109427
GTF3A,0.0003272432739888618
HES1,-0.00022762252010317553
HMGA1,0.03179731458295948
HNF1B,0.0004929908743814639
HOXA10,0.00022253203433044623
HOXA9,0.00034581681812400256
HOXB2,0.0002782997299109751
HOXC5,-2.49697630293033e-05
HOXC9,0.00010415848558793641
IKZF1,-0.00034751605837730876
IKZF2,0.0001293070296405996
IRF1,-0.00039351486264341213
IRF3,-0.0002716682515984752
IRF5,-0.00029695112384221995
IRF7,7.0714781814998785e-06
IRF8,0.0002497136467991484
JUN,-0.004572064043859077
JUND,0.006948995231415324
KLF12,0.00012559670416574474
KLF13,-0.00021453502526168827
KLF2,0.024207375037061316
KLF4,0.00010568565773738599
KLF6,0.006036587202009589
LEF1,0.0028731997163900956
LHX1,4.7108912923202736e-05
MAFB,0.00014612617459603005
MAFF,2.48211794985713e-05
MAFG,-7.8152947849858e-05
MAFK,-7.050544901918444e-06
MBD2,-0.00010187132982202604
MBNL2,-0.0002804317946534876
MITF,-0.00011883188761081987
MSC,0.001064311916360537
MXD4,0.003111988627899638
MYC,0.000629770129386433
NCOA1,0.00010199222050253585
NFATC2,0.0004312518439409205
NFE2,0.00020104137425219906
NFE2L3,8.033724715820792e-05
NFIA,4.7165464676859104e-05
NFKB1,0.0004467224902935345
NFKB2,7.060065307038422e-05
NFYB,-0.0005703450957203935
NFYC,-0.00030714477489265175
NHLH1,0.00011451823909710155
NR2C2,7.443760401574014e-06
NR3C1,0.0005430275444835183
ONECUT2,-3.272964723101878e-05
OTX2,0.00012823773030811098
PATZ1,-2.127156982228462e-05
PAX2,6.633371252803645e-05
PBX1,7.444925843367673e-06
POU2F1,1.7934497203560612e-05
POU2F2,-0.00047454957301519107
POU6F1,1.643404583104601e-05
PPARG,0.0007945245653804775
PURA,-2.4311313014150994e-05
RARA,0.00012157040333787082
REL,0.0003621553351462165
RELB,-8.565721771160686e-05
RFX5,-3.437348718663175e-07
RORC,0.00011283411024824818
RXRA,-8.546949977289938e-06
SETDB1,0.0002294376447561188
SMAD3,0.00012061843958137712
SOX4,-3.9731428707924944e-05
SP3,-0.000246445382149396
SP4,0.0001804943462330731
SPI1,-2.4987880031867714e-05
SPIB,0.0001010937754349297
SREBF1,0.0002959512675796995
SREBF2,0.00032661751651036076
STAT1,-0.0009215681880705281
STAT5A,-0.001422467612932357
TAL1,-0.0001480823252835316
TBX21,-0.005457828117173959
TCF3,5.337089792320078e-05
TCF4,0.00013309096622431197
TCF7L1,0.00010265366477284438
TCF7L2,-2.4043359920547057e-05
TEAD3,5.213263937168672e-05
TEAD4,-0.00022011207391912433
TFAP4,5.611876019515644e-05
TFDP1,0.00019497098501099723
THAP11,0.00016594824141738366
TLX2,-1.8643888788404823e-05
TP53,-3.084147265815953e-05
TP73,-6.275523753244394e-05
VEZF1,0.00010768860375391293
XBP1,0.0008703333666665214
YBX1,0.0016455678126441223
YY2,5.411206769069818e-05
ZBTB17,0.0005064240908292879
ZBTB20,-0.0003166274980749846
ZBTB25,0.0003596860873503789
ZNF225,3.2920583873242645e-05
ZNF35,4.008741762870927e-05
ZNF354B,7.890104454510074e-05
ZNF354C,1.0268166699426768e-05
ZNF367,-5.4004075526439005e-05
ZNF407,0.0003180010612202326
ZNF580,0.0004391080546921584
