TF,SHAP_diff
ATF1,-0.0004227947637686113
ATF2,-7.857022544053834e-05
ATF3,-0.00047841472965940313
ATF5,-0.00038457630240019877
BACH2,-2.9376266988637966e-05
BATF,0.0008677098436257018
BCL11A,-3.1006129086784686e-05
BHLHE41,2.105554879100728e-05
CEBPA,-6.471856117510339e-05
CEBPB,-9.3249680620507e-05
CEBPD,0.00015060707069576882
CEBPG,0.00016358036012806368
CREB3,-0.00011831132345023915
CREB3L2,0.0001086599070025184
CREB3L3,-0.018462579829657166
CREBZF,-0.0006087705480819158
DBP,9.383632403834274e-06
E2F1,-0.000667624972015711
E2F2,-0.00015384199275242846
E2F4,7.598966338001652e-05
E2F6,-0.00014818504899804285
E2F7,-0.00021831256295012637
E2F8,3.5109859801094836e-05
EGR1,-0.00028290294281029416
ELF1,0.0002843883170748268
ELF3,-4.176046793552033e-05
ELF4,0.00017714597267396218
ELK1,-0.00026615862769908505
ELK3,-0.0017718999295375437
ELK4,0.0013003712881667737
EOMES,-0.00221563618979292
ESRRA,-0.00016045608978224973
ETS1,-0.0037642602163194495
ETS2,-9.291849585802506e-05
ETV2,-7.562985894969642e-05
ETV3,-8.385844748414793e-05
ETV4,-1.8502859997173853e-05
ETV5,9.36179330941785e-05
ETV6,-0.00013192996085511013
ETV7,-0.0006140025708669752
FLI1,-1.5184816943375546e-05
FOS,-0.01970929013331245
FOSB,0.007399491631314447
FOSL2,-0.0006084440153150802
FOXM1,0.008734055684862456
FOXP3,-0.001521636830140587
GABPA,-0.00035772497248761075
GATA1,-7.212300510342825e-05
GATA2,-0.00011611682403548564
GATA3,-5.419834483401537e-05
GFI1B,4.838771995837238e-06
GMEB1,0.0001902167486556569
GTF3A,0.025166745890862166
HES1,-0.00015515165214388866
HMGA1,0.02009082551050214
HNF1B,0.00010789304186395592
HOXA10,0.00030772179247068787
HOXA9,0.00014419046426503875
HOXB2,-0.000407170130466316
HOXC5,4.2884762861382264e-05
HOXC9,-3.917360518789798e-05
IKZF1,0.00018290293032896196
IKZF2,0.00015856130433982294
IRF1,-0.000859549909923417
IRF3,-0.0001402615836789611
IRF5,-0.00025066385857768826
IRF7,0.00012906866318735465
IRF8,0.00012762791037716003
JUN,-0.02009036982726503
JUND,0.02127328764607697
KLF12,6.7833241269741205e-06
KLF13,-0.002385360658152858
KLF2,-0.021270082963937457
KLF4,0.0003817582047160277
KLF6,0.006018835850287599
LEF1,0.001172699460531017
LHX1,-0.0004014987551115599
MAFB,-0.00013164196546831827
MAFF,-0.00010203445427362832
MAFG,0.0025399281346863635
MAFK,8.783471645976128e-05
MBD2,0.0007678720183271
MBNL2,-0.00022776958613915008
MITF,-4.317410320929355e-05
MSC,0.001212538633432203
MXD4,-0.0018164858064425805
MYC,0.0021598772060295417
NCOA1,0.00016782037701027543
NFATC2,0.0017989278978035447
NFE2,1.9298670280582737e-05
NFE2L3,0.0011543780503184462
NFIA,1.6705177759197602e-06
NFKB1,0.01416865456040245
NFKB2,0.00010095376591628429
NFYB,-0.0019223115346602882
NFYC,-0.0009793808593897778
NHLH1,6.243374869420764e-05
NR2C2,0.000350460290277795
NR3C1,3.63498788123141e-05
ONECUT2,-0.0001239938661015268
OTX2,0.00016160651514888076
PATZ1,0.0002504985273278403
PAX2,-7.737301952506083e-05
PBX1,-0.00014924297782148785
POU2F1,-4.4418079813801056e-05
POU2F2,-0.0007604220035016278
POU6F1,-2.4728003179036493e-05
PPARG,-0.0011534611263828017
PURA,0.0013919320541284418
RARA,8.259130791130737e-05
REL,0.0004144416415344729
RELB,0.0011195225644128229
RFX5,-3.607179493820216e-05
RORC,-0.0001403974144223408
RXRA,0.00020304019283170658
SETDB1,0.0001898856523026124
SMAD3,-0.00023096029801733124
SOX4,-2.754550449850602e-06
SP3,0.0006559032535394945
SP4,0.0006502331821048172
SPI1,-0.000599628213421279
SPIB,-1.396418347973193e-05
SREBF1,0.0006019966582620583
SREBF2,0.00121119869897406
STAT1,-0.0004288901228313406
STAT5A,-0.00957167834311172
TAL1,-1.8602919583127272e-05
TBX21,-0.0016851727780757358
TCF3,7.323882196538621e-05
TCF4,6.901113166482528e-05
TCF7L1,9.135878375163247e-05
TCF7L2,-0.00012121644509891225
TEAD3,-7.564707566332116e-06
TEAD4,-8.220253440825544e-05
TFAP4,-0.0016448762664605407
TFDP1,-0.00020716846979058933
THAP11,-0.0006665574081161124
TLX2,-0.0015852668368028485
TP53,-0.00016363067307130058
TP73,2.1702148332750034e-05
VEZF1,0.00014526051117899578
XBP1,-0.0003243250837231025
YBX1,-0.006477787327447313
YY2,-3.397921588654343e-05
ZBTB17,-0.0009212340744971777
ZBTB20,-0.00013066827943969883
ZBTB25,3.138290853082607e-05
ZNF225,3.593494086126435e-05
ZNF35,1.6098965464165873e-05
ZNF354B,0.00011081579403377985
ZNF354C,5.882143070508753e-05
ZNF367,7.702726040222579e-05
ZNF407,0.0017975661671551322
ZNF580,-0.0006580888849590637
