TF,SHAP_diff
ATF1,5.182771205425849e-05
ATF2,-1.4509470492221988e-05
ATF3,-0.0003074499513749598
ATF5,-0.0008857759605756738
BACH2,0.00011747114697237415
BATF,-0.0007307767319648961
BCL11A,4.833746594038386e-05
BHLHE41,2.484667305100776e-05
CEBPA,-0.00012848240405539653
CEBPB,-9.471488148186049e-05
CEBPD,-3.439763845295338e-05
CEBPG,-3.6294556398331686e-05
CREB3,-0.00042361659176520593
CREB3L2,0.00015729025199131728
CREB3L3,0.009302544405518122
CREBZF,-0.00017759408725789437
DBP,-3.068063835182252e-05
E2F1,0.000289707745978961
E2F2,-0.0013285864982575779
E2F4,-0.00038979114210135353
E2F6,7.030488766117834e-05
E2F7,-0.0001998871526952858
E2F8,0.0001774771421315414
EGR1,5.282169776441578e-05
ELF1,0.00036434324629747725
ELF3,-6.867250944842015e-05
ELF4,4.595628328649608e-05
ELK1,0.0002252974462548131
ELK3,0.00018935640130201002
ELK4,-0.0003763968675319744
EOMES,-0.0008457411549649071
ESRRA,0.00015767701649833176
ETS1,0.0004582818835229737
ETS2,-2.962703609224108e-05
ETV2,9.720882749738696e-05
ETV3,-1.3136138164878592e-05
ETV4,3.792462889214261e-05
ETV5,-2.1297684525396466e-05
ETV6,7.03709705013862e-05
ETV7,-0.000268326393494908
FLI1,5.2315527797543365e-05
FOS,-0.005346838236385216
FOSB,-0.008363775788278734
FOSL2,6.950302782556377e-05
FOXM1,-0.015461085965358112
FOXP3,-0.0005168020286119237
GABPA,-0.00021891823614925046
GATA1,0.00019872429293439753
GATA2,1.589193871138419e-05
GATA3,-6.249859367765738e-05
GFI1B,-1.670144302740978e-06
GMEB1,-0.0004605116107800973
GTF3A,-0.0051940063659252165
HES1,-0.00017057948072239247
HMGA1,0.014186939566404396
HNF1B,0.0012805402927388732
HOXA10,9.956258917409857e-05
HOXA9,0.0004965287541605337
HOXB2,0.00025225921652015777
HOXC5,-0.00018991698388277873
HOXC9,-0.00025107094230895536
IKZF1,-2.1881933810261616e-05
IKZF2,2.015684661544832e-05
IRF1,9.001245651041353e-05
IRF3,-0.0006257015640789459
IRF5,-0.00016987237514065343
IRF7,2.3220785553587536e-05
IRF8,0.00045550905951235586
JUN,-0.005621214033416981
JUND,0.021742691857812073
KLF12,-1.1696670855198884e-05
KLF13,0.00024483510393021556
KLF2,0.0108928718723184
KLF4,0.0002768038986457179
KLF6,0.008545019845173071
LEF1,3.421393421677932e-05
LHX1,-0.000333226786899128
MAFB,-0.0005376292079839359
MAFF,-0.0001357933288994186
MAFG,-0.0001537325891590813
MAFK,7.488511154786668e-06
MBD2,3.931812553544337e-05
MBNL2,2.2103833777050042e-05
MITF,-0.00033376615776083065
MSC,-0.0005893636160421568
MXD4,0.002688366282498317
MYC,0.0009171111905221672
NCOA1,0.00023165375952018694
NFATC2,-0.0017189021056591368
NFE2,0.00018406287269054095
NFE2L3,-0.00013329969095357682
NFIA,0.00014678998026968466
NFKB1,0.00010743209124282975
NFKB2,0.0001489063818656564
NFYB,-0.0013566566559096967
NFYC,0.0001671763309075404
NHLH1,5.322007006258061e-05
NR2C2,-0.00018640985363782987
NR3C1,-0.0001253497508437599
ONECUT2,-3.937662996753073e-05
OTX2,0.000180274628060691
PATZ1,7.287215406434359e-05
PAX2,-8.034836207018178e-05
PBX1,1.8458163882678643e-05
POU2F1,0.00028163257647790315
POU2F2,-3.3153070672411024e-05
POU6F1,2.4160700617867727e-06
PPARG,-0.0008118296603848843
PURA,-0.00022738877960197892
RARA,0.00037968945818000067
REL,3.4055459442769906e-05
RELB,-0.00017765967008619702
RFX5,-5.056918115145108e-05
RORC,0.0009368364154973853
RXRA,-8.8413126961989e-06
SETDB1,0.00023951408898369977
SMAD3,2.6967019298058227e-06
SOX4,-0.00013726028996845853
SP3,-0.00010228176235261816
SP4,-0.0002548366452252086
SPI1,-0.001161757168143184
SPIB,8.619882611143068e-05
SREBF1,-0.00021280743739991332
SREBF2,-9.385145091772248e-05
STAT1,0.0002347705112446965
STAT5A,0.004265907204614202
TAL1,-6.374226162694238e-06
TBX21,0.0002425625117916937
TCF3,-6.120221605019782e-05
TCF4,-1.4858853473781197e-05
TCF7L1,9.602455467469344e-05
TCF7L2,1.575609881212202e-05
TEAD3,-3.268879189446731e-06
TEAD4,0.0001027088811126679
TFAP4,-0.00042260858660569554
TFDP1,-0.0001105688239962302
THAP11,5.0366399992651724e-05
TLX2,0.0004870870943234533
TP53,-0.0001462991361937282
TP73,-6.388511669961332e-06
VEZF1,-0.0001347538366510612
XBP1,0.000655952303539357
YBX1,-0.002057763085006853
YY2,8.887284297284785e-06
ZBTB17,0.00018257964399508045
ZBTB20,4.856124700040118e-05
ZBTB25,4.7614032082907533e-05
ZNF225,-6.211345389979222e-05
ZNF35,-3.684493406239909e-05
ZNF354B,0.00025753721675960957
ZNF354C,5.613936240859815e-06
ZNF367,-0.00027805192211161935
ZNF407,-0.00025026561946756975
ZNF580,0.0006050727629781661
