TF,correlation_kendall,p_value_kendall,negative_log_p_value_kendall
TFDP1,0.1222488126168128,9.698866983417961e-265,264.0132789968255
THAP11,-0.044747525610551994,4.418969921239989e-37,36.35467895455537
TLX2,-0.05656745325072585,1.9521093466023447e-49,48.70949585916115
TP53,0.04291555709944507,5.295533277117477e-34,33.27609029851256
TP73,-0.012763126644088232,0.0018308708992402169,2.7373422781583243
VEZF1,0.024237823051799844,5.534829099216827e-12,11.256895784435295
XBP1,-0.040850306767673955,3.454604490608637e-31,30.461601666778485
YBX1,0.14262927398966763,0.0,300.0
YY2,-0.10795765611895358,6.957984243647185e-148,147.15751655904702
ZBTB17,-0.03056009245578776,3.673648938348942e-18,17.434902348145215
ZBTB20,-0.024324641896563925,8.029663969934744e-09,8.095302628950044
ZBTB25,-0.04069666719987799,5.759487173184747e-31,30.239616184592617
ZNF225,-0.08643516506411213,2.584957035867953e-100,99.5875466708449
ZNF35,-0.0019685880615022775,0.6394740557394121,0.19417707069709356
ZNF354B,-0.007047952471065506,0.08022752742875587,1.095676592324423
ZNF354C,-0.010616679786940022,0.012736662279996756,1.8949443666078198
ZNF367,0.036016857951387614,6.774968724030239e-18,17.16909270532624
ZNF407,-0.04968643319693459,2.5833546733537984e-45,44.58781596467212
ZNF580,-0.05223346353221982,6.764001208782443e-50,49.16979632346231
