TF,mean_SHAP
JUND,1.177066892039589
FOS,0.3188850673122454
JUN,0.2696207185163497
YBX1,0.2674700559210928
FOSB,0.2599193845146394
CREB3L3,0.2123603501630139
STAT5A,0.05869348611661236
TBX21,0.045117572311525224
EOMES,0.04187549130187076
EGR1,0.0376505845214415
PPARG,0.03752076137200684
STAT1,0.03700879289390608
FOXP3,0.03414478628625209
KLF13,0.0320650960425086
ETS1,0.03079992780665873
THAP11,0.02919057349172543
ETV7,0.022938919291033
IRF1,0.02183913926553727
TFAP4,0.02175750485699567
FOSL2,0.021071344522960386
NFYB,0.019831489717024364
TLX2,0.01670167089201849
IRF3,0.015846506005992834
TP53,0.014419078801714882
CREB3,0.009823075923757033
SPI1,0.00935289489473255
LHX1,0.008503773168745583
RORC,0.008468179003827913
ZNF225,0.00800711578434098
ATF3,0.007846798592115015
E2F4,0.007342928909525964
ZBTB17,0.007202717416801804
NR3C1,0.006737318622398302
E2F1,0.006699007995058606
NFYC,0.0066931653690678015
ELK3,0.006321063391567821
GABPA,0.006237782408274308
ETV3,0.005524196441116407
SP4,0.004770997052153238
ESRRA,0.004738747117581058
IRF5,0.004327793777639596
ATF2,0.004327040733103644
ATF5,0.004228477560774408
E2F6,0.004118387649246454
HES1,0.004072381669651498
ONECUT2,0.0038391877834140337
XBP1,0.0037300385200623827
MBNL2,0.0035408195603683084
BACH2,0.0029433136740991805
OTX2,0.0029196100852726496
E2F7,0.0027871831541820494
ATF1,0.0021472451498541355
SOX4,0.0020615468380510244
NHLH1,0.0020410076524012984
TCF3,0.002031256379125487
POU2F1,0.0020243404832416398
BHLHE41,0.0018925306747714775
E2F2,0.0016956286007385102
MAFB,0.001584784106111867
IRF7,0.0009539492904305212
SPIB,0.0008203656272671089
TCF4,0.0007287039281693594
POU2F2,0.0007136530659858244
BCL11A,0.0005679515124942647
ETS2,0.0005578264105230493
POU6F1,0.0005006241447012047
TFDP1,0.00045518167177836485
VEZF1,0.00041803371506846375
PBX1,0.00038420826623455445
RFX5,0.00023407251127086065
MAFF,0.00022663790447289986
ELK1,0.00017689376433996037
ZNF354C,0.00016926632565033542
ETV2,-4.941406375097722e-05
TEAD3,-0.00011455597512627126
YY2,-0.00013274201653586286
TAL1,-0.0002672060752000101
DBP,-0.00029452688337826147
TP73,-0.00045736547374624
ETV6,-0.0005593244586051745
TEAD4,-0.0006030063634040909
CEBPG,-0.0006385991829274664
MAFK,-0.0006936572966046261
ELF3,-0.0008019787981640259
ZBTB20,-0.0008160290770913935
CREBZF,-0.0008645224171561315
CEBPA,-0.001011037735783274
HOXB2,-0.001205991220451716
ZNF367,-0.001216376141715944
E2F8,-0.0012378203258863296
IRF8,-0.001261659238586818
MITF,-0.0014838950990100146
ZNF580,-0.001498060518777209
PAX2,-0.0015822671248177616
GATA3,-0.0017958054640906762
ZNF35,-0.001958830145611358
ETV4,-0.002321948949920165
NFE2,-0.0024022738281602456
GATA2,-0.002535842921853332
CEBPD,-0.0026429488139215096
LEF1,-0.0029885937589324545
HOXC9,-0.0030263719234172436
TCF7L2,-0.0031623992143308506
IKZF2,-0.0031930179813458425
TCF7L1,-0.003388976424992156
NFIA,-0.003424729657284401
ELK4,-0.0034965708958913733
GFI1B,-0.0036154446766038383
ZNF354B,-0.003662534396365846
KLF12,-0.0038212462391581156
HOXA9,-0.0038353511484371526
RARA,-0.0038759300022476084
ETV5,-0.003910267010343011
ZBTB25,-0.003975380605520902
CREB3L2,-0.004015119369978557
NCOA1,-0.004106527256642233
GATA1,-0.004279185999634861
RXRA,-0.0050069911156944745
HOXC5,-0.005237989482152536
KLF4,-0.0052892561859893905
RELB,-0.0057787132804821735
CEBPB,-0.006377415071645771
ELF4,-0.00650228214855858
SMAD3,-0.006703270331121101
SETDB1,-0.0067344347926276285
HNF1B,-0.007479083600477165
NFKB2,-0.008418012569672933
REL,-0.008509364958173766
ELF1,-0.009880450104279058
BATF,-0.00993981933185323
ZNF407,-0.010027601877117723
NR2C2,-0.010504464419023404
PATZ1,-0.011478898087882421
HOXA10,-0.011886735637312976
SREBF2,-0.013746235715463235
GMEB1,-0.014449831241756058
SREBF1,-0.014952123617417686
NFE2L3,-0.014972626051942857
FLI1,-0.015466065912699467
KLF6,-0.016121886692768754
SP3,-0.0186849218202895
IKZF1,-0.02013397422735888
MBD2,-0.030426655134605584
PURA,-0.03266006037509615
MAFG,-0.04491136435709076
FOXM1,-0.04683062062057008
NFKB1,-0.04753872864362622
MXD4,-0.047703940451266226
NFATC2,-0.05259380416977367
MSC,-0.06198694314564377
HMGA1,-0.08680714668557885
MYC,-0.10876688140555543
GTF3A,-0.12132263194995835
KLF2,-0.5655555878443835
