TF,mean_SHAP
JUND,1.1887671004585958
JUN,0.26962068924706
FOSB,0.2481762650962481
KLF2,0.20745454490700804
ETS1,0.05955951570575065
FOS,0.05810673021186965
MXD4,0.05111887896070422
KLF13,0.04509259519085325
MSC,0.028595744916726246
ZBTB17,0.025437039999922237
ZNF580,0.02403076665548945
E2F1,0.023925759476819713
HOXB2,0.020012409740990163
GFI1B,0.01855445934899246
ELF1,0.017256523933108198
TBX21,0.017225316900415847
PPARG,0.01441882998964323
ELK1,0.013639872532605757
ELK3,0.013211781598706042
GATA3,0.01305350829361658
LEF1,0.012650195324157558
MYC,0.012559891702639383
THAP11,0.012469856799835652
NFYC,0.012109972755560541
ATF1,0.011878739689382306
GATA1,0.011217735460310147
HOXA10,0.009856542829099339
RORC,0.008510008244325943
GABPA,0.008178237975676626
NR3C1,0.007517113310310679
IKZF1,0.007362085419639203
TFDP1,0.0073138415193456045
ETV6,0.006661447333482063
PAX2,0.006659553497526406
ETV3,0.005637608244994377
SP4,0.005494400362210732
KLF4,0.0054104029955529
ETV5,0.004801693490842536
EGR1,0.0045670000925374325
TLX2,0.004412511000235786
IRF7,0.004257907095959752
IRF1,0.004197667549127205
MITF,0.004112728779157714
CEBPA,0.004109545082553771
POU2F2,0.003879756002032584
NFE2,0.0036126678841999897
TP53,0.0035272878079977833
HOXA9,0.00325617409494614
ZBTB25,0.003150567050113974
RXRA,0.003121900962708099
ZNF225,0.0029805982244610605
ESRRA,0.002851767981030756
CEBPB,0.0021980952070988105
FLI1,0.0021120303481960063
STAT1,0.0016858482591569697
MAFB,0.0015971014088026797
RARA,0.0013631010317502587
ETV2,0.0013478739951094875
TCF7L1,0.0011216215137662335
POU2F1,0.0011184833967159003
IRF8,0.0011172382063720418
CREBZF,0.0009378373172329854
RELB,0.0009319893373331196
GATA2,0.0008482517505190657
TEAD4,0.0007204264486505977
MAFF,0.0006751987655791801
CREB3L2,0.0005343375825491991
ZNF354C,0.0005124386583441006
SPIB,0.00043773483856576734
ELF3,0.0004043577961492104
MBNL2,0.0003495656136665557
RFX5,0.0003379806973276563
TEAD3,0.00019795700484199772
NHLH1,0.00014123984522343698
HES1,1.1965087829065553e-05
POU6F1,-0.000296261670270586
E2F6,-0.0003999915695165453
SETDB1,-0.0005339238778704252
REL,-0.0005381346461317708
ZNF367,-0.0006155550167555854
TCF3,-0.0008655158465316817
NFKB2,-0.000903747439094247
YY2,-0.0009448862801931225
ZNF354B,-0.0010159036757403568
PATZ1,-0.001073861559090257
IKZF2,-0.001180956411894248
KLF12,-0.0012367493942760021
BHLHE41,-0.0012526356730657446
DBP,-0.0012791096352449656
HOXC9,-0.001297932192417564
TP73,-0.0013336094148719874
TAL1,-0.0013412687029737056
SOX4,-0.0015107199626130045
TCF4,-0.0016486560377110737
NFYB,-0.0017329135643421242
ETV4,-0.001814118176557941
CEBPD,-0.0018842394043021384
ELF4,-0.0020157514108139958
PBX1,-0.002024605932847802
ZBTB20,-0.002025326555300832
ONECUT2,-0.0021090632901158896
NFIA,-0.002221339742968978
BCL11A,-0.002257027111338744
SMAD3,-0.00234967780796134
ATF2,-0.0023571744386653567
TFAP4,-0.0024299774648007186
BACH2,-0.002431658139822979
MAFK,-0.002556804684891935
VEZF1,-0.002698319125403492
ATF3,-0.0031114756607241263
XBP1,-0.003327962075620928
ETS2,-0.003340749181210448
E2F7,-0.003471410209296905
LHX1,-0.0035035667405041424
CEBPG,-0.0035535646486153354
NCOA1,-0.0036462606465301546
OTX2,-0.003795221302608171
ATF5,-0.003816129262609854
HNF1B,-0.00409754968576033
E2F2,-0.004171187296951425
GMEB1,-0.004182756624022731
TCF7L2,-0.004764991204740848
HOXC5,-0.0048688056648330345
ZNF35,-0.004986640275091719
E2F8,-0.005531124342291076
IRF5,-0.005550686027635262
SPI1,-0.006711761029768029
YBX1,-0.009095042026896007
ETV7,-0.009796197565149578
SREBF1,-0.011512208314288936
ELK4,-0.012522186027160322
FOSL2,-0.012836137688611592
ZNF407,-0.012887872436393347
FOXP3,-0.014296175117625234
KLF6,-0.014756987790492983
IRF3,-0.015570869572935447
SP3,-0.01688895011495231
NR2C2,-0.017485071732931397
EOMES,-0.019078525974344854
SREBF2,-0.019239317212569263
PURA,-0.02187380225015472
NFE2L3,-0.024359627504089532
MBD2,-0.024888001222572398
E2F4,-0.02911232425278125
MAFG,-0.031633812960669534
CREB3,-0.03258614597211167
BATF,-0.037561154372977634
NFATC2,-0.045144818250168965
NFKB1,-0.055679692419567155
CREB3L3,-0.060941416490874104
HMGA1,-0.0671764466381254
STAT5A,-0.15255493674190315
FOXM1,-0.24858678224278463
GTF3A,-0.2559433477478497
