TF,mean_SHAP
JUND,1.071834271875958
FOSB,0.16370753012207762
MXD4,0.11319083949375765
YBX1,0.07584626842884062
CREB3L3,0.0730908667235914
JUN,0.07032890189393608
ETS1,0.05614878820712809
FOS,0.054841114834581095
KLF13,0.04460858774090752
THAP11,0.03157532379043152
EOMES,0.03019346999744974
E2F1,0.0301305891560542
STAT1,0.024279172672050105
FOXP3,0.016682212732970676
MYC,0.014779728065582634
GATA1,0.014160427685619663
ELK3,0.013779111640074171
NFYC,0.01354900417893407
ZBTB17,0.013219636052524608
ELF1,0.01292939462262839
GATA3,0.012019333547952624
TLX2,0.011419121801077306
IRF1,0.01046665942322791
ESRRA,0.009811226810238246
HOXB2,0.008537443595554037
ETV3,0.00809734908017243
FLI1,0.007634266322041597
NR3C1,0.0069649060482868475
ATF1,0.006434972752656509
IRF8,0.00588309870025509
GABPA,0.005708846014114476
CREB3,0.005646166995177699
MITF,0.0055090009867045245
ZBTB20,0.004785914748738896
TBX21,0.004540136122966055
HOXC5,0.004161997652055972
EGR1,0.004156791825369604
ELK1,0.0041556242377417925
ETV6,0.004105798648114864
MBNL2,0.004072836684781634
SMAD3,0.004014198237521883
POU2F2,0.003908718845167595
CREBZF,0.003520348211434369
ATF2,0.003443986255107517
PPARG,0.003438287334346883
ZNF580,0.003387775609694822
ETV7,0.0033853266947572284
HES1,0.002978571735828883
ZNF354C,0.002771067588840352
HOXA9,0.002436921684702557
RARA,0.0021997304435976113
TCF7L2,0.002141654933327428
CEBPG,0.0018933357921701631
ATF3,0.0018453800759140675
HOXA10,0.0018188040315442505
E2F6,0.0016399670181733114
NCOA1,0.0012866724841299943
ZNF225,0.001274782368646304
TCF4,0.0012711789262852752
BCL11A,0.0011756355601032287
NFYB,0.0011279566931376031
DBP,0.0011206916034760183
RELB,0.0011176561316983205
RORC,0.0009861477610518916
GMEB1,0.0008220150744696971
NFE2,0.0007515559831154676
NHLH1,0.0005931857086994344
SOX4,0.0005823665799750647
YY2,0.00041559690545073464
RFX5,0.0003767886576757444
KLF4,0.000367083357550991
GATA2,0.0003484048863642848
MAFF,0.000165563205726813
TP73,0.00013937763496282246
FOSL2,6.540557431738259e-05
TCF3,-3.4004597640898353e-05
ETS2,-3.718620089371568e-05
BHLHE41,-0.000138037171566169
TEAD4,-0.00020033975561578688
XBP1,-0.00026154560857782525
ETV4,-0.0002974409965068361
POU6F1,-0.0003118919619883666
SP4,-0.0003682458261179228
ZBTB25,-0.00046450582478206365
PBX1,-0.0005282245127600089
PAX2,-0.000531438816194742
ZNF35,-0.0007049846679325547
KLF12,-0.0008599977607238679
CREB3L2,-0.0008705345708668
ELF3,-0.0008962158061392596
CEBPD,-0.0009174800941363457
TEAD3,-0.0009357875966716118
VEZF1,-0.0009732421564756767
ETV2,-0.0009996454373400665
CEBPB,-0.0010009495359840608
ONECUT2,-0.0012455335623770339
MAFK,-0.0012458436547307752
HOXC9,-0.0012573102078256842
MAFB,-0.001272198088911626
E2F8,-0.001337401688456483
BACH2,-0.0014228054801091225
SPIB,-0.0014898523948507472
PATZ1,-0.0016657315606586369
LHX1,-0.0017877693417059398
TP53,-0.001816732123930763
POU2F1,-0.0019734742390262066
ZNF354B,-0.0020710147548023907
NFIA,-0.002092192188866637
ZNF367,-0.002158725512116132
IKZF2,-0.002170093230855222
IRF5,-0.0021992114454024345
TCF7L1,-0.0023111811498807656
RXRA,-0.002318481056666988
ELF4,-0.002336226212837441
IKZF1,-0.0028606387416283095
NFKB2,-0.002866443954430227
HNF1B,-0.0030925268182095734
E2F2,-0.0031332268601585935
E2F7,-0.0032510701716822626
IRF7,-0.0033121930395235703
REL,-0.0034200304738747256
SETDB1,-0.0035666964758845616
GFI1B,-0.0037013830805807456
LEF1,-0.00465677813582763
CEBPA,-0.004676317452580188
TAL1,-0.00470804985199127
OTX2,-0.005359173801352588
ETV5,-0.005650469908873932
IRF3,-0.008937474745240764
TFDP1,-0.009086909912831216
SP3,-0.010153235301184638
TFAP4,-0.01024882896839952
ATF5,-0.010794261651716293
STAT5A,-0.012809372029568085
MSC,-0.015145861365256752
SREBF2,-0.015793968258906367
SREBF1,-0.017482228494382676
SPI1,-0.01855581115648605
ZNF407,-0.0195904788314731
NFE2L3,-0.020847119442516434
NR2C2,-0.02115445628275665
BATF,-0.021601727245988123
MBD2,-0.021690024053861015
KLF6,-0.022441729404973913
ELK4,-0.023059032508567525
E2F4,-0.025315159164924293
PURA,-0.029581824868855407
MAFG,-0.04439084284976687
NFKB1,-0.06194949660489945
NFATC2,-0.07967504353832496
FOXM1,-0.09697877653330986
HMGA1,-0.11138772309821941
KLF2,-0.1264215664821802
GTF3A,-0.14165559774705877
