TF,mean_SHAP
JUND,0.7451576242781788
FOSB,0.18016645702791248
HMGA1,0.1763730652697438
YBX1,0.16727433185124485
JUN,0.11873737380945894
STAT1,0.054292237668511864
FOS,0.0361950117864463
TBX21,0.035346542777754834
ETS1,0.03200426541187704
EGR1,0.029122329965448362
THAP11,0.0253987691896452
FOXP3,0.024611789952632055
TLX2,0.024408226420947074
KLF13,0.023496186619762178
IRF1,0.021897227868336207
EOMES,0.015635949332994795
TFAP4,0.013176112888649416
E2F1,0.01284405002169982
NFYC,0.011437887388609935
TFDP1,0.010325172474964948
ELK3,0.009662177962008751
NFYB,0.008426602809808862
GATA3,0.007888261153733676
POU2F2,0.007383045604908512
ETV7,0.0061693445186910825
ESRRA,0.005591492542681891
HOXB2,0.005493561810324031
ZBTB17,0.005410233176430441
GABPA,0.004994974011370999
IRF3,0.004519364897814942
ZNF225,0.004488216286948883
HES1,0.004090203874977165
RORC,0.0038479302049713687
LHX1,0.00342823479865969
ELK1,0.0030558682926852742
ETV3,0.0028316571077773834
MAFK,0.0022915216891460162
CREB3,0.00219684918894836
ZBTB20,0.002084478039350254
SP4,0.002005793744077813
TAL1,0.002002270687343126
MITF,0.001956133880663536
MBNL2,0.0018876416177421938
PBX1,0.0018490980304750944
ATF1,0.001848603391577667
ETV6,0.0015828191577780288
NCOA1,0.0015796665957877763
ATF3,0.001280907667216975
ZNF580,0.001232577731488404
TP73,0.0011865217147273754
ZNF35,0.0010423669873875353
TCF4,0.0009793431179591487
ETV4,0.000971882409830511
TP53,0.0009309539420558296
BHLHE41,0.0008892144432620484
GMEB1,0.0008691162637561132
MAFF,0.0008679396260057961
TCF3,0.0006228753194122271
KLF4,0.0006192452708790378
MAFB,0.0005018023936510931
OTX2,0.00033715064770469677
ETS2,0.00031124461645655135
RXRA,0.0002310433497738573
RARA,0.00021325809579039018
RELB,0.0001847480894964945
TCF7L1,0.00014706329434174543
ETV2,0.00012778736871895676
BCL11A,5.253085804130508e-05
POU6F1,-8.246069133217678e-06
IKZF2,-8.660616765947389e-05
IRF7,-0.00020047312387125294
CREBZF,-0.0002391613835148521
NFE2,-0.00030009761262233246
RFX5,-0.0003106998151813205
SOX4,-0.0003530964759809794
DBP,-0.00036118415946035607
ZNF367,-0.0003804394171247021
IRF8,-0.00045980913337887645
PPARG,-0.00047026707708301143
ZNF354C,-0.00047573743763117625
IRF5,-0.000557325858831042
GATA2,-0.0006129579381207124
FOSL2,-0.000784106727964551
SPIB,-0.0008252630534183646
GFI1B,-0.0009090364819796024
TEAD4,-0.0009389967856668157
CREB3L2,-0.0009744636065097075
CEBPA,-0.0010249506554400648
VEZF1,-0.0010827442269617767
ZBTB25,-0.0010900013462855449
ELF4,-0.001103449479091686
NFKB2,-0.0011202454539862882
E2F7,-0.001190021586871837
FLI1,-0.0013195830948710553
BACH2,-0.0013873756377007823
YY2,-0.0013900434970990695
CEBPG,-0.001434259696333077
E2F6,-0.001448427942511571
KLF12,-0.0014639413634256423
ELF3,-0.001592590721541525
PATZ1,-0.0016011660751918952
CEBPD,-0.0017518395770670734
TEAD3,-0.001938778748340001
HOXC5,-0.0020499973862809734
ZNF354B,-0.0023093594525072374
NFIA,-0.0023544935671680613
GATA1,-0.0024370720129872746
CEBPB,-0.002467711330243647
ATF5,-0.002651972107589686
HOXA10,-0.002658677617107883
XBP1,-0.0028123679660792865
NHLH1,-0.003066069246685119
TCF7L2,-0.003130546644669576
PAX2,-0.00331019355200946
HOXC9,-0.0036169501911810825
POU2F1,-0.003680563657194025
E2F2,-0.003750090549782722
HNF1B,-0.0037651718955428208
NR3C1,-0.00404093801985261
SREBF1,-0.004209865352002506
ETV5,-0.004247177644164943
ONECUT2,-0.004248504350263143
SMAD3,-0.0044240296476098714
E2F8,-0.0044658015251834784
SPI1,-0.004663829760351994
SETDB1,-0.0051273548783817915
REL,-0.0054836567317912335
HOXA9,-0.005623109509029912
ATF2,-0.005636587385880711
IKZF1,-0.005970864831372511
E2F4,-0.006070712599622317
MXD4,-0.006479732289097321
NFE2L3,-0.007498097671439351
SREBF2,-0.007782648812425559
ELF1,-0.008701464899512838
NR2C2,-0.009497368714288405
LEF1,-0.010184810964518438
SP3,-0.010618134785822225
ZNF407,-0.011245809074043605
ELK4,-0.016400423783228375
MYC,-0.01690339536449368
MSC,-0.017859423858942326
NFKB1,-0.02161768095759696
PURA,-0.02194911958907392
BATF,-0.02409861599909408
FOXM1,-0.032256720344677324
MAFG,-0.03544866335503948
MBD2,-0.03613715857431535
STAT5A,-0.03833490528711591
NFATC2,-0.040291517206968525
CREB3L3,-0.07936119920688432
KLF2,-0.10752661926892826
KLF6,-0.20385341107383334
GTF3A,-0.29358856980117165
