TF,mean_SHAP
JUND,0.7734351739984874
TBX21,0.5717663222724522
GTF3A,0.4218827289466443
EOMES,0.1217285365468712
NFATC2,0.10311391728117812
CREB3L3,0.09295539469289413
FOS,0.07034677351150066
STAT5A,0.04732830721235359
MYC,0.03871866566851206
FOXP3,0.0326642800724406
ELK4,0.019358183819605742
HOXC5,0.019118256741410006
ELF1,0.016429434742193827
E2F1,0.015221933060798307
ELF4,0.015076759583013452
PPARG,0.014468755279513815
BHLHE41,0.013644241599575781
PURA,0.013142762410042683
NR2C2,0.0129056296986062
SP3,0.012227008749012351
SREBF1,0.011013875954669875
ESRRA,0.01054903263544199
IRF8,0.010370556214520408
HOXB2,0.010330948857460033
BATF,0.009890206384781716
SPI1,0.009577371282245157
KLF12,0.009032639996036125
RARA,0.008657441992198915
TCF7L2,0.008010928277906141
ETV7,0.006786161888926572
TLX2,0.006740216026357674
THAP11,0.006682709705820819
E2F7,0.0064390470596699554
PAX2,0.005542764426788919
SREBF2,0.005439856641515046
NFKB1,0.0054280418713376225
ZNF407,0.005332517507186754
HOXA10,0.004579541903839301
E2F2,0.004011095037769555
NCOA1,0.003909671020995516
IKZF1,0.0038269466554241805
GMEB1,0.003811124350139724
ZNF367,0.0037747136295015766
TCF4,0.0036766132518847544
STAT1,0.003522869185266774
ATF5,0.003444177266520991
ZBTB17,0.0031294683156868363
BACH2,0.003079361292402571
IRF1,0.002806981618018713
CREB3,0.0027011212671814184
ATF1,0.0026526111766346904
FLI1,0.0025635771738836844
ZBTB20,0.002463747217013895
ETV5,0.00225774384795399
ZBTB25,0.002154721521596718
IRF5,0.0018168474500236608
TCF3,0.0016824553943501983
HOXC9,0.0016582118368291422
ZNF225,0.001598515170874367
ATF3,0.00141481251884845
MBD2,0.0013335435343489945
IRF7,0.0009554498397678512
TFDP1,0.0008055618206178617
RELB,0.0007244989454002005
SETDB1,0.0007178831500302725
CEBPG,0.0006584397184480387
SMAD3,0.000555058797085499
E2F6,0.0005271368794460803
TCF7L1,0.0004275346746993932
MITF,0.00039119964305912435
HES1,0.0003869738904079158
SOX4,0.00033464125383724457
ETV2,0.00032247391062004203
REL,0.00022660144247328189
ELF3,0.00021469936144345448
GABPA,0.00021160263370638579
ONECUT2,0.00018088290373963312
YY2,0.00016218513402801933
TP73,0.00013237715452095846
PATZ1,6.463829795983515e-05
NFYB,4.7604837584890036e-05
MAFB,-2.0540545402329317e-05
KLF4,-0.00019599416043716275
EGR1,-0.0002182815865735667
ZNF354C,-0.0002493172478095438
ZNF354B,-0.00025027562704765273
BCL11A,-0.0002989714723220248
SPIB,-0.0003295219301554361
CREB3L2,-0.0003370330781007088
ZNF580,-0.00039427409883359855
MAFF,-0.0005043442353404088
POU6F1,-0.0005316603981296048
CEBPD,-0.0005479523158951793
MAFK,-0.0006975291509903004
VEZF1,-0.0008553938844688586
LEF1,-0.0008617408166059486
RXRA,-0.0009699922735151875
GATA2,-0.0010545738808116294
GATA3,-0.0010812264515705006
NFE2,-0.00113062918996654
NFKB2,-0.0011508403183545684
CEBPB,-0.0012512728889371835
IKZF2,-0.0014484312059968591
ETV4,-0.0015882621605121216
NHLH1,-0.001708097299530968
LHX1,-0.0017166422430280434
TEAD3,-0.0018147890611196803
TEAD4,-0.0018348712069108314
DBP,-0.0018395064258124269
POU2F1,-0.0019603938321437722
OTX2,-0.0020474489082928527
IRF3,-0.0021237001013459755
HOXA9,-0.0022274934274309
ZNF35,-0.0022577314305175285
CREBZF,-0.00226519640505525
GATA1,-0.002274520603099311
RFX5,-0.0023056482531532054
RORC,-0.0024251887251228637
TAL1,-0.002447232611147383
ELK3,-0.00260798132172104
ETV6,-0.0027405135473082577
E2F8,-0.002741386066556543
CEBPA,-0.002775708255887863
ETS2,-0.0028197720597265426
NFIA,-0.003396441545913783
GFI1B,-0.0036782675019964815
MAFG,-0.0038647636938048797
PBX1,-0.00427544914221247
TP53,-0.004356231517419113
ATF2,-0.005519845214282784
MBNL2,-0.005672821704335058
ETV3,-0.006362901701419606
XBP1,-0.00674630189919522
FOSL2,-0.008290662428935763
KLF13,-0.008404428513985922
NFE2L3,-0.008891679548911936
POU2F2,-0.009438146806353855
NFYC,-0.010113269159800979
ELK1,-0.010651714541636319
SP4,-0.012736163876403896
ETS1,-0.012959160676236172
TFAP4,-0.014834704329135301
HNF1B,-0.015548408441680973
E2F4,-0.015646643229662038
FOSB,-0.0166458907022282
NR3C1,-0.017827579040985534
MSC,-0.02935355058726168
KLF6,-0.03479241940062991
KLF2,-0.03927612829938987
JUN,-0.04888198153103979
MXD4,-0.11451594593188927
YBX1,-0.12168328787051343
FOXM1,-0.12321863012155232
HMGA1,-0.44518780239032146
